cell_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,DMSO_TF,Drug
file4_cell551,-0.037340997,-0.078200772,0.062203837614032184,-0.21386288,-0.103299224,-0.088735593,-0.123864674,-0.166465545,-0.21961822,0.010307188937105296,0.012675953,-0.083926786,-0.302795614,-0.14185953,0.090578933,0.048078683028336185,-0.124478455,0.43381822647124846,-0.199362844,-0.28563439,-0.112115879,-0.429961,-0.054137162,-0.264608248,-0.052152407,-0.251636937,-0.176082576,0.029758873138196553,-0.279179667,-0.00097318,-0.370302774,-0.028162144,0.6033040206125726,-0.165269237,0.30291343724072783,-0.395296273,0.3652124848180167,-0.309938448,0.7579690370694058,0.3908768598716808,0.3181586953838489,-0.468198668,0.5735213693387093,0.5561573078897759,-0.62101463,0.34190108011657544,-0.002335545,0.18091288413836012,-0.844139099,1.0909850745648897,nan,4
file4_cell552,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335,-0.02965818,-0.043523173,-0.071280694,0.020874204438903955,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717751175,0.006813522,-0.02289874,-0.027995479,0.015647064,-0.016011727,-0.00985547,0.027433457657317358,-0.008681521,nan,4
file4_cell553,-0.029245469,-0.034087285,-0.007850352,-0.071645246,0.032834117,-0.037675095,0.009288096,-0.024858604,-0.007303721,-0.055249644,-0.004697218,-0.073086414,0.018992470437272965,-0.035354867,-0.175353616,-0.037485741,0.026229687889676407,-0.125459625,-0.143144424,-0.232193239,-0.149825928,-0.065066467,-0.748461554,0.5483872925239052,0.38039062949240116,0.052732734,0.051409942,-0.159080798,-0.10347775,0.16299789657684788,-0.137533218,-0.141110555,-0.031927693,-0.009712307,0.15059640466068744,0.067807298,-0.080120709,-0.156963847,0.018433323880256147,0.038910358301560366,-0.0705076,0.09183585,-0.339676493,0.09066209,0.06841843,0.00099025,-0.187612178,-0.222487653,-0.014633877,-0.002128146,nan,4
file4_cell554,-0.028702028,-0.066499725,0.040073642,-0.139687373,-0.016898429,-0.054487289,-0.028343129,-0.08473236,-0.106048671,0.003569792,-0.006944161,0.052336134,-0.159097227,-0.05652785,-0.139360825,1.1373112034098753,-0.056677731,0.027817374,-0.144481876,-0.110217494,-0.037537436,0.028624907644294876,-0.023576479,-0.18209838,-0.165040505,0.016603361876820683,0.020055786010634753,0.002774219,0.025981644220651887,-0.184082604,0.028758979330493695,-0.004454755,0.3245276220380032,-0.240752643,0.004380932,-0.336220808,0.5857648108917771,-0.090344188,0.12521563853238193,0.2069327424878814,0.076035526,-0.059289436,-0.027383219,0.074322427,-0.802099485,0.545812172,-0.11026804,0.26261476453138793,-0.142501147,0.2503205810608599,nan,4
file4_cell555,-0.025594798,-0.066875141,-0.065900399,-0.131272084,-0.029763046,-0.008034435,0.017376617105652543,-0.061006185,-0.020875781,-0.083633228,-0.017216079,-0.022258286,-0.186088436,-0.029738169,-0.196480887,-0.028576856,0.003625969,-0.147062135,0.13514314030350458,0.05243262,0.17429643217998164,0.021047194,0.1291955915876488,-0.180469945,-0.005987231,0.25652679810846873,0.3716970487363871,0.041517245,1.0821372777639087,0.8571676474553968,0.14785139285644158,0.078864709,0.3927177231585094,-0.369183105,-0.118847533,-0.055715636,-0.2055091,0.066785748,-0.235693324,-0.033050765,0.12455327061078618,0.014772274,-0.157690013,0.4054681716508621,-1.112981927,0.33317728802644325,0.16744417247524343,0.22163792751271044,-0.35800926,-0.19590529,nan,4
file4_cell556,-0.032228889,-0.03163708,-0.051891383,-0.156253621,0.005173728,-0.03864314,-0.03992401,-0.162401731,-0.074855908,-0.011572041,-0.06143866,-0.200692761,-0.15031327,-0.055890294,-0.072987446,-0.012910774,-0.070240415,-0.022229132,0.034390074929620866,-0.27670161,0.048290812869041716,-0.00309026,-0.069085062,-0.282787943,-0.127576197,0.067388123,0.042443131,-0.109473815,0.005709972,0.03272685,-0.046839073,-0.286423017,-0.021473061,0.11763576004796804,-0.087598508,0.1395006811594134,0.046011921873910434,-0.165468089,0.096590057,-0.157044138,-0.214320648,0.646427603,-0.209184082,-0.072922289,-0.106680979,-0.184919707,0.29364890153479334,0.4113227623156564,-0.29512575,0.1550081488187279,nan,4
file4_cell557,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335,-0.02965818,-0.043523173,-0.071280694,0.020874204438903955,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717751175,0.006813522,-0.02289874,-0.027995479,0.015647064,-0.016011727,-0.00985547,0.027433457657317358,-0.008681521,nan,4
file4_cell558,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335,-0.02965818,-0.043523173,-0.071280694,0.020874204438903955,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717751175,0.006813522,-0.02289874,-0.027995479,0.015647064,-0.016011727,-0.00985547,0.027433457657317358,-0.008681521,nan,4
file4_cell559,-0.029438012,0.025682644877168148,-0.044064801,-0.110397397,0.13781244750715274,-0.085132407,0.19186325848327243,0.080314919,0.025634006221054318,-0.098986521,0.16725765989597355,-0.439120547,0.009597478,0.27069326330117927,-0.11691807,-0.316373921,0.5588760343732034,-0.520690603,-0.088055717,0.075503663,-0.088288461,-0.489536672,-0.216067552,0.2739969019714176,-0.185609747,0.26314799783072135,-0.26696778,-0.759485487,0.7281379019375562,-0.814795801,-0.287153507,-0.585474138,-0.526640564,-0.919356963,-0.139927593,-0.876967711,-0.681277613,0.45739229677226073,0.4209674854672243,0.2910399514369382,0.050769280010992596,0.7381279345694421,0.8265555397697878,0.5147167276400582,1.9360728854035865,0.7581027679302711,-1.208887841,-0.09068981,0.8756817461083037,0.2880373834041916,nan,4
file4_cell56,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335,-0.02965818,-0.043523173,-0.071280694,0.020874204438903955,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717751175,0.006813522,-0.02289874,-0.027995479,0.015647064,-0.016011727,-0.00985547,0.027433457657317358,-0.008681521,nan,4
